Categoria A,Categoria B,Pearson (r),Pearson (p),Spearman (ρ),Spearman (p),Correlação Absoluta
"relacionamentos, GP, civis","Ifood/Semelhantes, Lanches/Almoço extra",0.23276448804015198,0.045963300453525445,0.18778933030097195,0.10910864297112252,0.23276448804015198
supermercado,Aparência,0.2312992604436408,0.04738822408582574,0.25054512404083207,0.03131508746612007,0.2312992604436408
"Assinaturas, Netflix/Serviços de Streaming/Assinaturas","Ifood/Semelhantes, Lanches/Almoço extra",0.22152749013124037,0.05784785702829564,0.33423182633895243,0.0036094396008737976,0.22152749013124037
"transporte, Uber/Táxi, ônibus",Gás,0.2179034997800073,0.062175302094951826,0.38209958975152214,0.000781045481513617,0.2179034997800073
"relacionamentos, GP, civis",HQ,0.20921192840841202,0.07362719696917597,0.1223856269981869,0.2989031035169359,0.20921192840841202
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",Bugigangas,0.20382901009202953,0.08152777287092242,0.17477441261183868,0.13639266635719685,0.20382901009202953
"transporte, Uber/Táxi, ônibus","Assinaturas, Netflix/Serviços de Streaming/Assinaturas",0.2033267419484811,0.08229805103736583,0.12533509091829836,0.28731956985796653,0.2033267419484811
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",celular,0.19715432940701638,0.0922432753876578,0.22669253735604378,0.052106878175053536,0.19715432940701638
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",Doações/Presentes,0.19610938552550075,0.09401674880869466,0.2019906477653001,0.08437522566312777,0.19610938552550075
Cinema,Gás,0.19431108315330625,0.09713136479492972,0.27612003992267387,0.0172501777745869,0.19431108315330625
supermercado,"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",0.1937438284600113,0.09813041386755156,0.11996445509471652,0.308636787625106,0.1937438284600113
"relacionamentos, GP, civis",celular,-0.18691556750339844,0.11079659201612754,-0.3451380554718651,0.0025990299825888537,0.18691556750339844
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",Aparência,0.1830895887621314,0.11842636407690295,0.39966667067388256,0.0004190791350640261,0.1830895887621314
celular,Utilidades,0.18209472526484716,0.12047491352780268,0.3052074677624895,0.008188222046322281,0.18209472526484716
celular,luz,0.18153893539497223,0.12163111756026238,0.2682246222580631,0.02085563004904778,0.18153893539497223
"relacionamentos, GP, civis",luz,-0.1790203572389433,0.1269772137833369,-0.12907907191332588,0.2730485027567782,0.1790203572389433
Utilidades,Livros,0.17539733498025945,0.13497923403915232,-0.008277891532454361,0.9441952670955716,0.17539733498025945
luz,Saúde,0.17525959659989637,0.13529080892392098,0.3391385068318817,0.0031181245541869436,0.17525959659989637
Utilidades,HQ,0.17485456681325792,0.1362101693429165,0.03792901673915211,0.7483328333163595,0.17485456681325792
luz,Bugigangas,0.17329804661781723,0.13978722271528496,0.27072529427360786,0.019649856713540637,0.17329804661781723
celular,Aparência,-0.16945024617138574,0.14893309951536207,0.05329795185362993,0.651988459494903,0.16945024617138574
aluguel,"Ifood/Semelhantes, Lanches/Almoço extra",0.1666486924743766,0.15586836694857556,0.12682141807044256,0.2815961947894072,0.1666486924743766
aluguel,Utilidades,-0.16626580566660484,0.15683453719916854,0.07262107854084403,0.5386291221441182,0.16626580566660484
aluguel,Cinema,0.16408521756750646,0.1624218906389236,0.3771052094592772,0.0009265268414921708,0.16408521756750646
"relacionamentos, GP, civis","Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",-0.16366208437905483,0.16352291465924162,-0.15632125434211827,0.1835097873781728,0.16366208437905483
"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",Cinema,0.16145475758323038,0.1693559700785191,0.1602117287366524,0.17270728307500074,0.16145475758323038
aluguel,"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",0.16063141661284985,0.17157038306806766,0.5055770469283016,4.3364477455608065e-06,0.16063141661284985
Cinema,Doações/Presentes,0.1581507117352276,0.17837052472975004,0.25763267590370387,0.026687181168677895,0.1581507117352276
supermercado,Cinema,0.155907447737398,0.18468698598506084,0.17828587965909662,0.12856949432033593,0.155907447737398
"Ifood/Semelhantes, Lanches/Almoço extra",Livros,0.1556149287945635,0.18552243926512438,0.20602401120069389,0.07822848742081097,0.1556149287945635
"relacionamentos, GP, civis",Utilidades,-0.1555221209367228,0.18578807545153336,-0.27862391995282926,0.016224812841718065,0.1555221209367228
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",luz,0.15276233909524706,0.19381341189642176,0.308472755585521,0.0074962857899044865,0.15276233909524706
Cinema,Bugigangas,0.15194108220650665,0.19624900021190986,-0.01614730576449823,0.8913877332842941,0.15194108220650665
"relacionamentos, GP, civis","transporte, Uber/Táxi, ônibus",0.15074786148094504,0.19982671435280475,0.1363380528630205,0.2467517331522601,0.15074786148094504
"relacionamentos, GP, civis",Saúde,-0.14864986880846937,0.20622989410237078,-0.06612425014971583,0.5756489716435589,0.14864986880846937
"transporte, Uber/Táxi, ônibus",aluguel,0.14308975014136843,0.22390161479577494,0.42035983295170426,0.00019236838862047613,0.14308975014136843
luz,Livros,0.14167356515263546,0.22856718054030642,0.004349772287665499,0.9706593956352684,0.14167356515263546
supermercado,Utilidades,-0.13972473474874045,0.2350976867421712,-0.07712588771228188,0.5136656153939763,0.13972473474874045
Doações/Presentes,Games,0.13855168043639926,0.2390903430582916,0.12304766861695995,0.2962768570985504,0.13855168043639926
luz,Doações/Presentes,0.13685486489774756,0.24494815296346023,0.21822949731675417,0.061775595125529936,0.13685486489774756
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",Gás,0.1351355972535926,0.25098326904056006,0.4184388305361009,0.00020723039427664189,0.1351355972535926
"relacionamentos, GP, civis",Doações/Presentes,-0.13284950519725436,0.2591642950435185,-0.26241830389681275,0.023900913768925298,0.13284950519725436
"relacionamentos, GP, civis",Bugigangas,0.13131290546260427,0.2647637189307857,0.05397871402939386,0.6478360713185889,0.13131290546260427
luz,Cinema,0.1277601118912875,0.27802086821354377,0.11712919637849153,0.3202930769698271,0.1277601118912875
Saúde,"Ifood/Semelhantes, Lanches/Almoço extra",0.1259408340705676,0.2849778344859845,0.20277680334143508,0.08314804979462719,0.1259408340705676
supermercado,Gás,0.12545713527231503,0.28684674034750757,0.24076848988240243,0.03878954513564606,0.12545713527231503
"transporte, Uber/Táxi, ônibus",Doações/Presentes,0.12394039484041545,0.2927595167537375,0.08702998383518966,0.4609307167259242,0.12394039484041545
Doações/Presentes,Utilidades,0.12168801612717271,0.3016868587462432,0.23479253811412956,0.044049499627863135,0.12168801612717271
supermercado,Bugigangas,0.11989294530487861,0.3089273584712464,0.10604636047078185,0.36851748104536763,0.11989294530487861
supermercado,Games,-0.11787785012836038,0.3171881942203358,-0.13354908366787935,0.25664180606687664,0.11787785012836038
"Ifood/Semelhantes, Lanches/Almoço extra",HQ,0.11394916466698485,0.3336975196269413,0.05732168214607916,0.6276025312462538,0.11394916466698485
"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",HQ,-0.11043302160611378,0.3489248819837091,-0.14780412676800903,0.20885196035064416,0.11043302160611378
Saúde,Games,0.10907701180516366,0.35491097741144245,0.023815907289191886,0.8403757845712718,0.10907701180516366
"transporte, Uber/Táxi, ônibus",Bugigangas,0.10779922166750686,0.36060947788034187,0.05749640238683073,0.6265523561851618,0.10779922166750686
Cinema,Utilidades,-0.10594743752748922,0.36896689662731186,-0.10872412532879552,0.35647913759321637,0.10594743752748922
celular,"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",0.10578302128307956,0.3697145919296225,0.2735178695100113,0.018374264590501347,0.10578302128307956
luz,Internet,0.1045113330766155,0.37552878070459206,-0.17542293471754875,0.13492138532214557,0.1045113330766155
"Ifood/Semelhantes, Lanches/Almoço extra",Bugigangas,0.10443839925924485,0.3758639034590137,0.11300254469357493,0.33775514513025306,0.10443839925924485
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",Livros,0.09975696152236914,0.3977511458454353,-0.05320879801170834,0.6525330503228881,0.09975696152236914
Saúde,Utilidades,0.0992606227007904,0.40011495795636615,0.16347325212449104,0.1640160437275612,0.0992606227007904
"transporte, Uber/Táxi, ônibus",celular,-0.09841584645788995,0.4041571595610158,-0.004585168509709272,0.9690723316576542,0.09841584645788995
aluguel,Aparência,0.09637403976773351,0.4140253210343086,0.4417647053753634,8.140044651888529e-05,0.09637403976773351
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares","Ifood/Semelhantes, Lanches/Almoço extra",0.09561128868338051,0.4177472409209799,0.06321146280922733,0.5926196627002465,0.09561128868338051
"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",Utilidades,0.09343870058939517,0.4284537701908218,0.12701822020583736,0.2808440900326496,0.09343870058939517
luz,"Ifood/Semelhantes, Lanches/Almoço extra",0.09315287113449346,0.42987387736693583,0.13291023286177509,0.25894466362472157,0.09315287113449346
Gás,Livros,-0.09063137202730581,0.44251701736588567,-0.1642699995231582,0.16194279577706258,0.09063137202730581
